date,oblast,alert_minutes,night_minutes,alert_count,alert_hours,night_hours,rolling_7d_alert_hours,rolling_7d_night_hours,rolling_30d_alert_hours,rolling_30d_night_hours
2022-02-25,Cherkaska oblast,55.833,0.0,1,0.931,0.0,0.931,0.0,0.931,0.0
2022-02-26,Cherkaska oblast,30.0,20.4,1,0.5,0.34,1.431,0.34,1.431,0.34
2022-02-27,Cherkaska oblast,169.5,3.65,3,2.825,0.061,4.256,0.401,4.256,0.401
2022-02-28,Cherkaska oblast,265.1,107.56700000000001,6,4.418,1.793,8.674,2.194,8.674,2.194
2022-03-01,Cherkaska oblast,220.95,109.56700000000001,6,3.682,1.826,12.356,4.02,12.356,4.02
2022-03-02,Cherkaska oblast,191.2,35.7,5,3.187,0.595,15.543,4.615,15.543,4.615
2022-03-03,Cherkaska oblast,318.2,50.383,3,5.303,0.84,20.846,5.455,20.846,5.455
2022-03-04,Cherkaska oblast,244.89999999999998,0.0,5,4.082,0.0,23.997,5.455,24.928,5.455
2022-03-05,Cherkaska oblast,240.784,0.0,3,4.013,0.0,27.51,5.115,28.941,5.455
2022-03-06,Cherkaska oblast,143.117,0.0,4,2.385,0.0,27.07,5.054,31.326,5.455
2022-03-07,Cherkaska oblast,247.517,30.0,5,4.125,0.5,26.777,3.761,35.451,5.955
2022-03-08,Cherkaska oblast,24.267,0.0,1,0.404,0.0,23.499,1.935,35.855,5.955
2022-03-09,Cherkaska oblast,109.017,0.0,3,1.817,0.0,22.129,1.34,37.672,5.955
2022-03-10,Cherkaska oblast,131.983,73.13300000000001,3,2.2,1.219,19.026,1.719,39.872,7.174
2022-03-11,Cherkaska oblast,224.166,48.583,4,3.736,0.81,18.68,2.529,43.608,7.984
2022-03-12,Cherkaska oblast,309.5,91.5,4,5.158,1.525,19.825,4.054,48.766,9.509
2022-03-13,Cherkaska oblast,334.401,240.034,5,5.573,4.001,23.013,8.055,54.339,13.51
2022-03-14,Cherkaska oblast,492.284,293.38300000000004,4,8.205,4.89,27.093,12.445,62.544,18.4
2022-03-15,Cherkaska oblast,434.284,90.6,6,7.238,1.51,33.927,13.955,69.782,19.91
2022-03-16,Cherkaska oblast,444.93399999999997,232.7,6,7.416,3.878,39.526,17.833,77.198,23.788
2022-03-17,Cherkaska oblast,136.55,98.667,3,2.276,1.644,39.602,18.258,79.474,25.432
2022-03-18,Cherkaska oblast,233.166,66.35,5,3.886,1.106,39.752,18.554,83.36,26.538
2022-03-19,Cherkaska oblast,111.18299999999999,0.0,2,1.853,0.0,36.447,17.029,85.213,26.538
2022-03-20,Cherkaska oblast,134.533,86.066,3,2.242,1.434,33.116,14.462,87.455,27.972
2022-03-21,Cherkaska oblast,247.98399999999998,6.7,5,4.133,0.112,29.044,9.684,91.588,28.084
2022-03-22,Cherkaska oblast,450.601,6.617,6,7.51,0.11,29.316,8.284,99.098,28.194
2022-03-23,Cherkaska oblast,238.0,33.983,2,3.967,0.566,25.867,4.972,103.065,28.76
2022-03-24,Cherkaska oblast,143.13299999999998,76.916,3,2.386,1.282,25.977,4.61,105.451,30.042
2022-03-25,Cherkaska oblast,306.616,81.816,6,5.11,1.364,27.201,4.868,110.561,31.406
2022-03-26,Cherkaska oblast,362.967,41.917,3,6.049,0.699,31.397,5.567,116.61,32.105
2022-03-27,Cherkaska oblast,138.066,124.016,2,2.301,2.067,31.456,6.2,117.98,34.172
2022-03-28,Cherkaska oblast,43.416999999999994,2.617,2,0.724,0.044,28.047,6.132,118.204,33.876
2022-03-29,Cherkaska oblast,271.50100000000003,95.75,5,4.525,1.596,25.062,7.618,119.904,35.411
2022-03-30,Cherkaska oblast,75.517,14.917,1,1.259,0.249,22.354,7.301,116.745,33.867
2022-03-31,Cherkaska oblast,74.8,71.217,1,1.247,1.187,21.215,7.206,114.31,33.228
2022-04-01,Cherkaska oblast,108.9,39.333,4,1.815,0.656,17.92,6.498,112.938,33.289
2022-04-02,Cherkaska oblast,387.734,229.48399999999998,4,6.462,3.825,18.333,9.624,114.097,36.274
2022-04-03,Cherkaska oblast,223.017,174.9,3,3.717,2.915,19.749,10.472,113.732,39.189
2022-04-04,Cherkaska oblast,391.784,110.36699999999999,5,6.53,1.839,25.555,12.267,116.249,41.028
2022-04-05,Cherkaska oblast,123.417,72.30000000000001,3,2.057,1.205,23.087,11.876,115.921,42.233
2022-04-06,Cherkaska oblast,82.216,0.0,3,1.37,0.0,23.198,11.627,113.166,41.733
2022-04-07,Cherkaska oblast,134.933,78.383,4,2.249,1.306,24.2,11.746,115.011,43.039
2022-04-08,Cherkaska oblast,374.549,260.149,7,6.242,4.336,28.627,15.426,119.436,47.375
2022-04-09,Cherkaska oblast,114.2,37.417,3,1.903,0.624,24.068,12.225,119.139,46.78
2022-04-10,Cherkaska oblast,189.05,0.0,3,3.151,0.0,23.502,9.31,118.554,45.97
2022-04-11,Cherkaska oblast,40.583,40.583,1,0.676,0.676,17.648,8.147,114.072,45.121
2022-04-12,Cherkaska oblast,63.667,10.1,3,1.061,0.168,16.652,7.11,109.56,41.288
2022-04-13,Cherkaska oblast,35.433,0.0,1,0.591,0.0,15.873,7.11,101.946,36.398
2022-04-14,Cherkaska oblast,270.884,68.6,4,4.515,1.143,18.139,6.947,99.223,36.031
2022-04-15,Cherkaska oblast,276.35,205.28300000000002,4,4.606,3.421,16.503,6.032,96.413,35.574
2022-04-16,Cherkaska oblast,268.8,111.633,8,4.48,1.861,19.08,7.269,98.617,35.791
2022-04-17,Cherkaska oblast,115.4,86.233,2,1.923,1.437,17.852,8.706,96.654,36.122
2022-04-18,Cherkaska oblast,465.034,175.233,5,7.751,2.921,24.927,10.951,102.552,39.043
2022-04-19,Cherkaska oblast,53.933,41.583,2,0.899,0.693,24.765,11.476,101.209,38.302
2022-04-20,Cherkaska oblast,71.44999999999999,34.9,2,1.191,0.582,25.365,12.058,98.267,38.772
